dt,Hr,Entry Fee,Seats,Rake Percent,Rake,Users,Wager
"July 2, 2018",1,50,2,15.00%,90,6,600
"July 2, 2018",1,50,6,15.00%,1464,108,9300
"July 2, 2018",1,100,6,15.00%,3600,123,21900
"July 2, 2018",1,250,6,15.00%,6075,78,34500
"July 2, 2018",1,500,6,12.00%,1980,15,16500
"July 2, 2018",1,1000,6,10.00%,17700,84,162000
"July 2, 2018",1,2000,2,10.00%,3600,12,36000
"July 2, 2018",1,3000,2,10.00%,1800,6,18000
"July 2, 2018",1,3000,6,10.00%,29700,45,279000
"July 2, 2018",1,5000,2,8.00%,2400,6,30000
"July 2, 2018",2,10,2,15.00%,27,6,180
"July 2, 2018",2,10,6,15.00%,177,78,1170
"July 2, 2018",2,25,6,15.00%,462,78,3000
"July 2, 2018",2,50,6,15.00%,1104,75,6900
"July 2, 2018",2,100,6,15.00%,1845,75,11700
"July 2, 2018",2,250,6,15.00%,3150,45,20250
"July 2, 2018",2,500,6,12.00%,720,9,6000
"July 2, 2018",2,1000,6,10.00%,15900,57,144000
"July 2, 2018",2,3000,2,10.00%,1800,6,18000
"July 2, 2018",2,3000,6,10.00%,14400,15,135000
"July 2, 2018",2,10000,2,6.00%,10800,6,180000
"July 2, 2018",3,10,6,15.00%,108,39,690
"July 2, 2018",3,25,6,15.00%,237,48,1425
"July 2, 2018",3,50,6,15.00%,699,48,4050
"July 2, 2018",3,100,6,15.00%,945,39,5700
"July 2, 2018",3,250,6,15.00%,1239,21,8250
"July 2, 2018",3,1000,6,10.00%,12000,36,102000
"July 2, 2018",3,3000,6,10.00%,3600,6,36000
"July 2, 2018",3,5000,2,8.00%,9600,12,120000
"July 2, 2018",4,10,6,15.00%,27,18,180
"July 2, 2018",4,25,2,15.00%,90,12,600
"July 2, 2018",4,50,6,15.00%,384,24,2550
"July 2, 2018",4,100,6,15.00%,450,24,3000
"July 2, 2018",4,250,6,15.00%,1800,15,12000
"July 2, 2018",4,1000,6,10.00%,4200,15,36000
"July 2, 2018",5,10,2,15.00%,9,6,60
"July 2, 2018",5,10,6,15.00%,105,45,630
"July 2, 2018",5,25,6,15.00%,45,9,300
"July 2, 2018",5,50,2,15.00%,135,6,900
"July 2, 2018",5,50,6,15.00%,159,21,1050
"July 2, 2018",5,100,6,15.00%,180,12,1200
"July 2, 2018",5,250,6,15.00%,900,15,6000
"July 2, 2018",5,1000,6,10.00%,5700,9,57000
"July 2, 2018",6,10,6,15.00%,135,60,840
"July 2, 2018",6,25,2,15.00%,24,6,150
"July 2, 2018",6,25,6,15.00%,483,78,2850
"July 2, 2018",6,50,6,15.00%,159,15,900
"July 2, 2018",6,100,6,15.00%,990,36,6300
"July 2, 2018",6,250,6,15.00%,900,18,6000
"July 2, 2018",6,500,6,12.00%,360,6,3000
"July 2, 2018",6,1000,6,10.00%,1200,6,12000
"July 2, 2018",7,10,2,15.00%,45,27,300
"July 2, 2018",7,10,6,15.00%,294,135,1920
"July 2, 2018",7,25,2,15.00%,24,6,150
"July 2, 2018",7,25,6,15.00%,798,114,4950
"July 2, 2018",7,50,6,15.00%,699,66,4350
"July 2, 2018",7,100,6,15.00%,2025,90,12600
"July 2, 2018",7,250,6,15.00%,3825,54,24000
"July 2, 2018",7,10000,2,6.00%,3600,6,60000
"July 2, 2018",8,10,2,15.00%,108,36,720
"July 2, 2018",8,10,6,15.00%,474,210,2970
"July 2, 2018",8,25,2,15.00%,45,6,300
"July 2, 2018",8,25,6,15.00%,1407,213,8700
"July 2, 2018",8,50,6,15.00%,474,45,2700
"July 2, 2018",8,100,6,15.00%,2700,102,16500
"July 2, 2018",8,250,6,15.00%,2139,42,13500
"July 2, 2018",8,500,6,12.00%,3960,39,28500
"July 2, 2018",8,1000,6,10.00%,6300,33,57000
"July 2, 2018",9,10,2,15.00%,63,24,420
"July 2, 2018",9,10,6,15.00%,558,243,3570
"July 2, 2018",9,25,2,15.00%,114,21,750
"July 2, 2018",9,25,6,15.00%,1104,186,7050
"July 2, 2018",9,50,6,15.00%,1215,108,7500
"July 2, 2018",9,100,6,15.00%,3555,147,22200
"July 2, 2018",9,250,6,15.00%,5400,84,33750
"July 2, 2018",9,500,6,12.00%,1440,9,9000
"July 2, 2018",9,1000,6,10.00%,11100,57,105000
"July 2, 2018",9,3000,6,10.00%,2700,9,27000
"July 2, 2018",9,10000,2,6.00%,14400,9,240000
"July 2, 2018",10,10,2,15.00%,108,42,720
"July 2, 2018",10,10,6,15.00%,852,339,5340
"July 2, 2018",10,25,2,15.00%,249,33,1650
"July 2, 2018",10,25,6,15.00%,1914,288,11850
"July 2, 2018",10,50,6,15.00%,1440,126,8700
"July 2, 2018",10,100,2,15.00%,90,6,600
"July 2, 2018",10,100,6,15.00%,4860,189,30000
"July 2, 2018",10,250,6,15.00%,6639,108,42000
"July 2, 2018",10,500,6,12.00%,900,12,6000
"July 2, 2018",10,1000,6,10.00%,12000,69,114000
"July 2, 2018",10,2000,2,10.00%,1200,6,12000
"July 2, 2018",10,3000,2,10.00%,1800,6,18000
"July 2, 2018",10,3000,6,10.00%,10800,18,108000
"July 2, 2018",10,5000,2,8.00%,2400,6,30000
"July 2, 2018",10,10000,2,6.00%,7200,9,120000
"July 2, 2018",11,10,2,15.00%,126,45,840
"July 2, 2018",11,10,6,15.00%,996,378,6090
"July 2, 2018",11,25,2,15.00%,294,45,1950
"July 2, 2018",11,25,6,15.00%,2148,336,12750
"July 2, 2018",11,50,2,15.00%,90,12,600
"July 2, 2018",11,50,6,15.00%,1980,171,12300
"July 2, 2018",11,100,2,15.00%,360,18,2400
"July 2, 2018",11,100,6,15.00%,6210,222,38400
"July 2, 2018",11,250,6,15.00%,5514,120,36000
"July 2, 2018",11,500,6,12.00%,2340,30,19500
"July 2, 2018",11,1000,6,10.00%,18000,87,162000
"July 2, 2018",11,2000,2,10.00%,1200,6,12000
"July 2, 2018",11,3000,6,10.00%,14400,21,144000
"July 2, 2018",11,5000,2,8.00%,7200,15,90000
"July 2, 2018",11,10000,2,6.00%,21600,18,360000
"July 2, 2018",12,10,2,15.00%,225,87,1500
"July 2, 2018",12,10,6,15.00%,1122,447,6960
"July 2, 2018",12,25,2,15.00%,114,27,750
"July 2, 2018",12,25,6,15.00%,2115,354,13275
"July 2, 2018",12,50,2,15.00%,90,9,600
"July 2, 2018",12,50,6,15.00%,2094,192,13500
"July 2, 2018",12,100,2,15.00%,450,24,3000
"July 2, 2018",12,100,6,15.00%,5400,228,35100
"July 2, 2018",12,250,6,15.00%,9225,144,60000
"July 2, 2018",12,500,6,12.00%,2880,30,24000
"July 2, 2018",12,1000,6,10.00%,16800,87,147000
"July 2, 2018",12,3000,6,10.00%,9900,24,90000
"July 2, 2018",12,5000,2,8.00%,12000,12,150000
"July 2, 2018",12,10000,2,6.00%,28800,21,480000
"July 2, 2018",13,10,2,15.00%,72,39,480
"July 2, 2018",13,10,6,15.00%,1188,495,7380
"July 2, 2018",13,25,2,15.00%,225,45,1500
"July 2, 2018",13,25,6,15.00%,2508,402,15450
"July 2, 2018",13,50,2,15.00%,45,6,300
"July 2, 2018",13,50,6,15.00%,2274,225,14550
"July 2, 2018",13,100,6,15.00%,6480,222,39300
"July 2, 2018",13,250,6,15.00%,8775,132,51750
"July 2, 2018",13,500,6,12.00%,2880,33,21000
"July 2, 2018",13,1000,6,10.00%,19800,99,180000
"July 2, 2018",13,3000,6,10.00%,23400,30,216000
"July 2, 2018",13,5000,2,8.00%,7200,15,90000
"July 2, 2018",13,10000,2,6.00%,32400,24,540000
"July 2, 2018",14,10,2,15.00%,81,42,540
"July 2, 2018",14,10,6,15.00%,927,405,5880
"July 2, 2018",14,25,2,15.00%,249,36,1650
"July 2, 2018",14,25,6,15.00%,2553,429,16125
"July 2, 2018",14,50,2,15.00%,135,18,900
"July 2, 2018",14,50,6,15.00%,2430,234,15750
"July 2, 2018",14,100,2,15.00%,180,9,1200
"July 2, 2018",14,100,6,15.00%,7920,285,48900
"July 2, 2018",14,250,6,15.00%,8439,108,52500
"July 2, 2018",14,500,6,12.00%,6300,69,48000
"July 2, 2018",14,1000,6,10.00%,15300,87,144000
"July 2, 2018",14,3000,6,10.00%,25200,33,243000
"July 2, 2018",14,5000,2,8.00%,2400,6,30000
"July 2, 2018",14,10000,2,6.00%,18000,12,300000
"July 2, 2018",15,10,2,15.00%,243,87,1620
"July 2, 2018",15,10,6,15.00%,1077,444,6960
"July 2, 2018",15,25,2,15.00%,270,33,1800
"July 2, 2018",15,25,6,15.00%,2757,432,17025
"July 2, 2018",15,50,2,15.00%,45,6,300
"July 2, 2018",15,50,6,15.00%,2544,213,16200
"July 2, 2018",15,100,6,15.00%,7200,261,45300
"July 2, 2018",15,250,6,15.00%,11364,159,70500
"July 2, 2018",15,500,6,12.00%,2520,42,21000
"July 2, 2018",15,1000,6,10.00%,27300,108,246000
"July 2, 2018",15,3000,6,10.00%,6300,15,63000
"July 2, 2018",15,10000,2,6.00%,14400,12,240000
"July 2, 2018",16,10,2,15.00%,216,66,1440
"July 2, 2018",16,10,6,15.00%,1104,417,6780
"July 2, 2018",16,25,2,15.00%,585,84,3900
"July 2, 2018",16,25,6,15.00%,2913,459,18750
"July 2, 2018",16,50,2,15.00%,180,15,1200
"July 2, 2018",16,50,6,15.00%,2859,252,18300
